id,stat,essence_name,essence_value
1,Agility,Lively Delver's Essence of Agility,4464
2,Block,Lively Delver's Essence of Block,54441
3,Critical Defence,Lively Delver's Essence of Critical Defence,49610
4,Critical Rating,Lively Delver's Essence of Critical Rating,31386
5,Evade,Lively Delver's Essence of Evasion,54441
6,Fate,Lively Delver's Essence of Fate,4464
7,Finesse,Lively Delver's Essence of Finesse,46753
8,Outgoing Healing,Lively Delver's Essence of Healing,73863
9,Might,Lively Delver's Essence of Might,4464
10,Parry,Lively Delver's Essence of Parry,54441
11,Physical Mastery,Lively Delver's Essence of Physical Mastery,29943
12,Physical Mitigation,Lively Delver's Essence of Physical Mitigation,42292
13,Resistance,Lively Delver's Essence of Resistance,54441
14,Incoming Healing,Lively Delver's Essence of Restoration,54527
15,Tactical Mastery,Lively Delver's Essence of Tactical Mastery,29943
16,Tactical Mitigation,Lively Delver's Essence of Tactical Mitigation,39649
17,Vitality,Lively Delver's Essence of Vitality,2338
18,Will,Lively Delver's Essence of Will,4464
19,Morale,,
20,Non-Combat Morale Regeneration,,
21,Non-Combat Power Regeneration,,
22,In-Combat Morale Regeneration,,
23,In-Combat Power Regeneration,,
